duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
4,0,83,2023-05-05 16:38:00.000,,,2023-05-05 16:39:00.430,2023-05-05 16:39:00.430,83,1.2222222,62.58,5.16,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2023-05-05 16:39:00.000,293abccb-97bd-4400-a518-7b537d8f4cd0,
4,0,48,2023-05-06 20:51:00.000,,,2023-05-06 20:53:37.098,2023-05-06 20:53:37.098,48,1.1388888,36.63,3.27,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-06 20:52:00.000,59ea9271-1392-44f4-9c82-cc9e61443710,
4,0,53,2023-05-02 22:45:00.000,,,2023-05-02 22:53:16.975,2023-05-02 22:53:16.975,50,1.3611112,38.83,3.3,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-02 22:46:00.000,4f574eef-0bfd-407f-91ad-5e41561f8787,
4,0,5,2023-05-07 07:15:00.000,,,2023-05-07 07:15:03.730,2023-05-07 07:15:00.315,5,1.4682378,3.99,0.32,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-07 07:16:00.000,d18d70e0-3d4d-42a0-b620-b169641411a5,
4,0,88,2023-05-08 12:26:00.000,,,2023-05-08 12:35:00.930,2023-05-08 12:35:00.930,88,1.1111112,66.32,6.16,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-08 12:27:00.000,e1b7b870-e05b-40ec-9b8e-cd87c8cbe876,
4,0,35,2023-05-06 20:52:00.000,,,2023-05-06 20:53:37.174,2023-05-06 20:53:37.174,36,1.1388888,27.11,2.51,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-06 20:53:00.000,ab952b6d-da56-4c07-94a5-d7fe8bc6fb0a,
4,0,8,2023-05-07 07:20:00.000,,,2023-05-07 07:35:01.394,2023-05-07 07:20:43.312,8,1.5207264,6.4300003,0.51,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-07 07:21:00.000,a7dda84b-21c1-4f56-965e-d97d6b8fd9f1,
4,0,28,2023-05-06 20:53:00.000,,,2023-05-06 20:53:38.526,2023-05-06 20:53:37.266,27,1.2960263,21.410002,1.8100002,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-06 20:54:00.000,bf4b2099-0e2f-4eed-b9bf-5674fbab1e62,
4,0,99,2023-05-07 17:30:00.000,,,2023-05-07 17:32:34.637,2023-05-07 17:32:34.637,99,1.2905,77.43,6.78,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2023-05-07 17:31:00.000,1345cea6-6c1a-433f-b0f4-dbf3bfb3ea3a,
4,0,65,2023-05-06 20:54:00.000,,,2023-05-06 20:54:59.803,2023-05-06 20:54:09.526,65,1.2019687,49.86001,4.2,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-06 20:55:00.000,75bb06a2-5cf1-4fc0-ae3c-b2d81599ae10,
4,0,95,2023-05-02 22:46:00.000,,,2023-05-02 22:53:17.045,2023-05-02 22:53:17.045,95,1.2086666,72.52,6.65,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-02 22:47:00.000,263d77ba-a2bc-4f59-b828-83e86a7e4c8a,
4,0,84,2023-05-08 12:28:00.000,,,2023-05-08 12:35:01.014,2023-05-08 12:35:01.014,84,1.0408334,62.45,5.88,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-08 12:29:00.000,56357933-8d1a-4ce6-8015-4052107c960b,
4,0,20,2023-05-05 16:42:00.000,,,2023-05-05 16:47:10.976,2023-05-05 16:42:34.127,20,1.3328207,15.0998535,1.4100013,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2023-05-05 16:43:00.000,f41edaab-5c6c-4272-ae07-1e21f3b2ace2,
4,0,9,2023-05-06 20:55:00.000,,,2023-05-06 21:10:50.461,2023-05-06 20:55:00.326,9,1.299204,7.0,0.63,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-06 20:56:00.000,4518c264-ae1e-403f-a4a4-65b58d41a0ed,
4,0,85,2023-05-07 17:31:00.000,,,2023-05-07 17:32:34.770,2023-05-07 17:32:34.770,85,1.2777778,66.69,5.85,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2023-05-07 17:32:00.000,51d8eaa6-e772-4ae4-8052-43fdb8a8bb70,
4,0,18,2023-05-06 21:29:00.000,,,2023-05-06 21:35:00.634,2023-05-06 21:35:00.634,18,1.3055556,14.2,1.18,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-06 21:30:00.000,74b13876-7aeb-452b-83d6-c0387e71dcad,
4,0,15,2023-05-06 21:30:00.000,,,2023-05-06 21:35:00.664,2023-05-06 21:35:00.664,15,1.4166666,11.59,0.99,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-06 21:31:00.000,85ac3619-55bf-4dd7-a4cb-e95b2e31604f,
4,0,93,2023-05-08 12:30:00.000,,,2023-05-08 12:35:01.062,2023-05-08 12:35:01.062,93,1.1808333,70.85,6.47,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-08 12:31:00.000,d65e6a82-5d20-4726-b590-70e52350f71d,
4,0,12,2023-05-05 16:45:00.000,,,2023-05-05 16:47:11.355,2023-05-05 16:47:11.355,12,1.7777778,9.84,0.63,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2023-05-05 16:46:00.000,da023754-b874-4d52-8cc9-d7c2af757b4c,
4,0,88,2023-05-08 12:32:00.000,,,2023-05-08 12:35:01.123,2023-05-08 12:35:01.123,88,1.1041666,66.25,6.16,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-08 12:33:00.000,d4436301-1039-471e-ab05-fa11dc60762d,
4,0,7,2023-05-07 13:40:00.000,,,2023-05-07 13:40:47.637,2023-05-07 13:40:47.063,7,1.0871868,5.29,0.47,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-07 13:41:00.000,fba2323a-e26a-492c-8ee0-62f79cd062de,
4,0,40,2023-05-02 22:47:00.000,,,2023-05-02 22:53:17.099,2023-05-02 22:53:17.099,40,1.1666666,30.67,2.74,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-02 22:48:00.000,ed9cc803-979d-475c-ae2a-d3770fe03371,
4,0,15,2023-05-06 21:31:00.000,,,2023-05-06 21:35:00.694,2023-05-06 21:35:00.694,15,1.0277778,11.15,1.04,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-06 21:32:00.000,6b16b9a1-3fd8-4afc-adde-136502e29ab6,
4,0,26,2023-05-07 14:21:00.000,,,2023-05-07 14:21:31.847,2023-05-07 14:21:18.320,26,1.0884598,19.63,1.7700002,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-07 14:22:00.000,1b21e99b-ad8d-4fb8-a9bd-db3e29e66433,
4,0,52,2023-05-07 17:32:00.000,,,2023-05-07 17:33:01.037,2023-05-07 17:32:34.863,52,1.4115117,41.879997,3.37,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2023-05-07 17:33:00.000,6cefe8f0-b697-4536-8d94-2cc2cf252b35,
4,0,54,2023-05-02 22:48:00.000,,,2023-05-02 22:53:17.146,2023-05-02 22:53:17.146,54,1.1666666,41.29,3.77,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-02 22:49:00.000,63cd9600-8894-4b06-a39e-256fd8a6e3d6,
