step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
3900528,90,0,2023-02-02 19:55:28.345,2023-02-01 05:00:00.635,-1,120000,71,4841.904,433.9804,99790c2d-1cc1-405c-baaf-52cfd106da15.extra_data.json,+OWbbAvnWG,22800,com.sec.android.app.shealth,3877728,19560000,99790c2d-1cc1-405c-baaf-52cfd106da15,1675209600000,
1557176,90,0,2023-04-08 14:19:53.103,2023-04-07 04:00:01.033,-1,46023,27,1831.1775,160.39015,230efd10-f63a-4bd3-b5a5-bd1ab0cfa089.extra_data.json,+OWbbAvnWG,4400,com.sec.android.app.shealth,1552776,32880000,230efd10-f63a-4bd3-b5a5-bd1ab0cfa089,1680825600000,
5287858,90,0,2023-02-28 04:38:17.178,2023-02-27 05:42:34.609,-1,1175178,96,5490.299,534.3703,b642e3f5-db7c-4a4f-a189-20eb68210ba7.extra_data.json,+OWbbAvnWG,11629,com.sec.android.app.shealth,5276229,13020000,b642e3f5-db7c-4a4f-a189-20eb68210ba7,1677456000000,
4468770,90,0,2023-02-09 13:26:51.524,2023-02-08 05:00:07.496,-1,180000,82,5604.0776,426.50333,45061298-c4b5-44a6-9dff-d9a6880b5552.extra_data.json,+OWbbAvnWG,14305,com.sec.android.app.shealth,4454465,27900000,45061298-c4b5-44a6-9dff-d9a6880b5552,1675814400000,
727697,90,0,2023-02-08 00:36:11.539,2023-02-07 05:00:00.696,-1,53360,13,809.44006,34.760002,e2da5508-ac3e-40bc-b09b-a83a7a308f82.extra_data.json,+OWbbAvnWG,0,com.sec.android.app.shealth,727697,19920000,e2da5508-ac3e-40bc-b09b-a83a7a308f82,1675728000000,
5292403,90,0,2023-03-13 04:51:19.492,2023-03-12 05:00:00.878,-1,120000,97,6106.842,545.93036,d40af50e-f936-45ce-94ea-043a7122339b.extra_data.json,+OWbbAvnWG,4000,com.sec.android.app.shealth,5288403,24840000,d40af50e-f936-45ce-94ea-043a7122339b,1678579200000,
3497491,90,0,2023-04-14 05:02:36.622,2023-04-13 04:00:00.905,-1,120000,64,4140.9873,364.8859,7b05198f-4e85-401c-a934-be0f2c49b254.extra_data.json,+OWbbAvnWG,7200,com.sec.android.app.shealth,3490291,15360000,7b05198f-4e85-401c-a934-be0f2c49b254,1681344000000,
3878225,90,0,2023-03-02 16:25:12.269,2023-03-01 05:00:01.868,-1,180000,71,4418.826,300.7003,bfd0bfd3-1e36-4380-9b9d-92729e99d9fd.extra_data.json,+OWbbAvnWG,13200,com.sec.android.app.shealth,3865025,23160000,bfd0bfd3-1e36-4380-9b9d-92729e99d9fd,1677628800000,
6383251,90,0,2023-03-07 00:16:28.879,2023-03-05 05:00:01.024,-1,1250964,117,6853.808,598.66345,fdf3ce8b-648f-4fcf-bad6-b23f218fb7f8.extra_data.json,+OWbbAvnWG,22400,com.sec.android.app.shealth,6360851,31680000,fdf3ce8b-648f-4fcf-bad6-b23f218fb7f8,1677974400000,
3028041,90,0,2023-02-15 05:00:00.653,2023-02-14 05:00:00.833,-1,240000,55,3692.86,258.96014,9f6cf51e-0282-4790-9a26-a478093b4d45.extra_data.json,+OWbbAvnWG,4800,com.sec.android.app.shealth,3023241,21599999,9f6cf51e-0282-4790-9a26-a478093b4d45,1676332800000,
7878505,90,1962151,2023-03-19 03:56:00.868,2023-03-18 04:00:01.480,-1,1962151,144,6350.136,803.6584,f88ec2e7-1bad-403d-add7-bb2baa839433.extra_data.json,+OWbbAvnWG,3600,com.sec.android.app.shealth,5912754,26160000,f88ec2e7-1bad-403d-add7-bb2baa839433,1679097600000,
