number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
2023-02-08 05:00:00.000,,100003.0,,2023-03-07 00:16:28.200,2023-02-09 03:50:59.964,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":6809}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-02-08 05:00:00.000,13373b46-2e3b-4b78-b120-af9cd9d89e0a,1,
2022-10-06 04:00:00.000,,100003.0,,2022-10-30 04:59:20.892,2022-10-06 18:33:07.381,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":11151}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-10-06 04:00:00.000,e7fbf0c9-ce54-4c2f-80d6-2da284bd5b85,1,
2023-03-27 04:00:00.000,,100003.0,,2023-04-21 22:49:56.460,2023-03-27 21:43:43.043,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6500,""mValue"":7507}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-03-27 04:00:00.000,777aaf6e-0e7d-45a5-bd06-29f445361f4d,1,
2023-01-21 05:00:00.000,,100003.0,,2023-02-14 19:41:01.444,2023-02-14 19:41:01.444,,,tracker_pedometer_reward_most_walking_day,UTC-0500,"{""mTarget"":-1,""mValue"":15487}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-01-21 05:00:00.000,57f2179d-5475-4760-90c1-3770c6981276,1,
,15002.0,,1cb82b00-0a29-4413-92be-b439d552086f,2023-05-15 20:41:38.742,2023-04-01 17:50:08.377,,,1203,UTC-0400,4211970,+OWbbAvnWG,com.sec.android.app.shealth,sport.tracker.best.record.duration.lifetime,2023-04-01 17:49:55.653,0dcb6d02-b399-4de2-bf58-6fcece5138cd,0,
2023-04-02 04:00:00.000,,100003.0,,2023-04-03 04:00:04.473,2023-04-03 04:00:04.473,,,tracker_pedometer_reward_most_walking_day,UTC-0400,"{""mTarget"":-1,""mValue"":11138}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-04-02 04:00:00.000,78ed9de5-3d56-47e7-bcd1-d1d4470d3198,1,
2022-10-02 04:00:00.000,,100003.0,,2022-10-11 16:15:35.461,2022-10-11 16:15:35.461,,,tracker_pedometer_reward_most_walking_day,UTC-0400,"{""mTarget"":-1,""mValue"":12377}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-10-02 04:00:00.000,114938ac-d58b-48a8-a38d-9ba64a2015ae,1,
2023-04-02 04:00:00.000,,10009.0,,2023-04-08 04:00:03.977,2023-04-03 04:00:02.409,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6500,""mValue"":6866}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-04-02 04:00:00.000,180a3582-7242-49c7-a5d2-c8b3d1995594,1,
2023-04-03 04:00:00.000,,100003.0,,2023-04-30 16:15:46.540,2023-04-03 19:45:11.683,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6500,""mValue"":6834}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-04-03 04:00:00.000,b44f8d22-7dfe-42eb-9339-1182148a315f,1,
,1001.0,,0845f9ac-bac3-451d-b158-cb3e3c7be99d,2023-04-09 19:23:21.128,2023-04-03 16:34:22.283,,,1205,UTC-0400,611.151,+OWbbAvnWG,com.sec.android.app.shealth,sport.tracker.best.record.calories.lifetime,2023-04-03 15:24:01.016,0fd70a54-bf51-4e75-8f44-f3da4d4c5584,0,
