start_time,custom,update_time,create_time,floor,time_offset,deviceuuid,pkg_name,end_time,datauuid
,2022-11-09 18:19:11.854,2022-11-09 18:19:11.854,1.0,UTC-0500,oL6fnwM6i7,com.sec.android.app.shealth,2022-11-09 18:18:24.000,a0b0c6d5-0643-4d74-b6b0-cb7c0250d21f,
,2022-11-11 19:22:27.492,2022-11-11 19:22:27.492,1.0,UTC-0500,oL6fnwM6i7,com.sec.android.app.shealth,2022-11-11 19:21:10.000,205a4a87-dadc-4f07-9229-652e620f4d54,
,2022-11-13 00:12:14.876,2022-11-13 00:12:14.876,1.0,UTC-0500,oL6fnwM6i7,com.sec.android.app.shealth,2022-11-13 00:07:53.006,01d14854-b3fd-4762-a31c-09eb793c6b76,
,2022-11-17 17:31:22.596,2022-11-17 17:31:22.596,1.0,UTC-0500,oL6fnwM6i7,com.sec.android.app.shealth,2022-11-17 17:29:18.000,b3515ae4-60c7-47a0-9590-a30f0cc72b9b,
,2022-11-17 17:51:26.764,2022-11-17 17:51:26.764,1.0,UTC-0500,oL6fnwM6i7,com.sec.android.app.shealth,2022-11-17 17:46:35.000,f481a782-03f4-4f06-a288-e179b6415d87,
,2022-11-18 23:03:10.027,2022-11-18 23:03:10.027,1.0,UTC-0500,oL6fnwM6i7,com.sec.android.app.shealth,2022-11-18 23:02:09.000,363eaf95-8170-4b2e-abe4-0c672f6d18ab,
,2022-11-21 20:30:07.392,2022-11-21 20:30:07.291,2.0,UTC-0500,oL6fnwM6i7,com.sec.android.app.shealth,2022-11-21 20:29:47.999,25a3f177-3665-48fb-a8bf-1f38f8055993,
,2022-11-25 22:12:35.739,2022-11-25 22:12:35.739,1.0,UTC-0500,oL6fnwM6i7,com.sec.android.app.shealth,2022-11-25 22:12:34.000,2ed648db-8332-4a6d-8e83-65d14288ec4b,
,2022-11-25 22:13:37.967,2022-11-25 22:13:37.849,2.0,UTC-0500,oL6fnwM6i7,com.sec.android.app.shealth,2022-11-25 22:13:16.000,fdfc74b8-11a9-4275-95ed-ad4b428aa445,
,2022-11-29 20:44:05.030,2022-11-29 20:44:05.030,1.0,UTC-0500,oL6fnwM6i7,com.sec.android.app.shealth,2022-11-29 20:42:56.000,686831ef-5a00-4864-b644-92cee53a99ce,
,2022-09-21 02:58:07.795,2022-09-21 02:58:07.795,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-09-21 02:58:06.000,0735299a-a9fc-4011-afa7-1c4669bb7114,
,2022-11-29 20:44:05.164,2022-11-29 20:44:05.164,1.0,UTC-0500,oL6fnwM6i7,com.sec.android.app.shealth,2022-11-29 20:43:36.000,02c386c6-bdfd-4830-8db2-2e7037bc92c8,
,2022-12-05 20:18:31.794,2022-12-05 20:18:31.725,2.0,UTC-0500,oL6fnwM6i7,com.sec.android.app.shealth,2022-12-05 20:18:28.000,ae5ede5d-ee69-441a-b598-d36a2994c417,
,2022-12-09 18:25:16.369,2022-12-09 18:25:16.369,1.0,UTC-0500,oL6fnwM6i7,com.sec.android.app.shealth,2022-12-09 18:24:00.000,1f0dbef3-14bb-45bc-b26b-142494e73c7d,
,2022-09-21 23:52:24.739,2022-09-21 23:52:24.611,2.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-09-21 23:51:13.000,6add8cd9-2ca4-408a-aba6-d4e9702abcae,
,2022-12-10 19:30:43.465,2022-12-10 19:30:43.465,1.0,UTC-0500,oL6fnwM6i7,com.sec.android.app.shealth,2022-12-10 19:28:10.000,a3e3a8dc-2fc9-475a-a426-434fa75ae5d0,
,2022-12-10 19:30:43.826,2022-12-10 19:30:43.826,1.0,UTC-0500,oL6fnwM6i7,com.sec.android.app.shealth,2022-12-10 19:29:21.000,523020f6-303e-4048-8f88-7a53828f29fe,
,2022-09-24 23:05:23.319,2022-09-24 23:05:23.319,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-09-24 23:02:29.001,8b800aad-c8ab-46cd-8e3e-a394431934d9,
,2022-12-12 17:13:09.134,2022-12-12 17:13:09.134,1.0,UTC-0500,oL6fnwM6i7,com.sec.android.app.shealth,2022-12-12 17:04:29.000,8d7d9c6f-8dc0-42cf-bcc8-1d0d8d9ea835,
,2022-12-12 17:20:44.532,2022-12-12 17:20:44.532,1.0,UTC-0500,oL6fnwM6i7,com.sec.android.app.shealth,2022-12-12 17:19:20.999,34fd75ad-3f60-4ed5-8b61-a91cc95ab5cd,
,2022-09-26 19:20:45.205,2022-09-26 19:20:45.205,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-09-26 18:55:44.000,94b4e4e7-1b1c-4877-9860-c0a165e6946e,
